DSE      00008770Aracaju                                                                      00014223São Conrado                                                                  00000000                                                                        Rua                                                                                                        00722557A                                                                       R A                                                                     49042163NS                                                                                                        
DSE      00008770Aracaju                                                                      00014203Grageru                                                                      00000000                                                                        Rua                                                                                                        00725905José Rodrigues Lima                                                     R José R Lima                                                           49027425NS                                                                                                        
DSE      00008770Aracaju                                                                      00014211Luzia                                                                        00000000                                                                        Rua                          Desembargador                                                                 00722459José Rodrigues Nou                                                      R Des José R Nou                                                        49048176NS                                                                                                        
DSE      00008770Aracaju                                                                      00014201Farolândia                                                                   00000000                                                                        Rua                          Desembargador                                                                 00355230José Rodrigues Nou                                                      R Des José R Nou                                                        49032430NS                                                                                                        
SSE      00008770Aracaju                                                                      0005655217 de Março                                                                  00000000                                                                        Avenida                                                                                                    00851098José Rodrigues Sobrinho                                                 Av José R Sobrinho                  (Bloco 2)                           49003160N2          99998      P00099145S                                                                         
DSE      00008770Aracaju                                                                      00014199Coroa do Meio                                                                00000000                                                                        Travessa                                                                                                   00723637José Rosendo dos Santos                                                 Tv José R dos Santos                                                    49035526NS                                                                                                        
DSE      00008770Aracaju                                                                      00014206Jabotiana                                                                    00000000                                                                        Rua                                                                                                        00356818José Rosendo Fontes Teles                                               R José R F Teles                                                        49096090NS                                                                                                        
DSE      00008770Aracaju                                                                      00014199Coroa do Meio                                                                00000000                                                                        Rua                          Poeta                                                                         00356421José Salles de Campos                                                   R Poe José S de Campos                                                  49035650NS                                                                                                        
DSE      00008770Aracaju                                                                      00014225Siqueira Campos                                                              00000000                                                                        Rua                          Poeta                                                                         00356422José Sampaio                                                            R Poe José Sampaio                                                      49075470NS                                                                                                        
DSE      00008770Aracaju                                                                      00014199Coroa do Meio                                                                00000000                                                                        Alameda                                                                                                    00355928José Samuel de Almeida                                                  Al José S de Almeida                                                    49035460NS                                                                                                        
DSE      00008770Aracaju                                                                      00014217Ponto Novo                                                                   00000000                                                                        Rua                                                                                                        00722369José Santos da Cruz                                                     R José S da Cruz                                                        49097273NS                                                                                                        
DSE      00008770Aracaju                                                                      00014193Atalaia                                                                      00000000                                                                        Rua                                                                                                        00355929José Saturnino de Oliveira                                              R José S de Oliveira                                                    49036030NS                                                                                                        
DSE      00008770Aracaju                                                                      00014208Jardins                                                                      00000000                                                                        Rua                                                                                                        00631606José Seabra Batista                                                     R José S Batista                                                        49025750NS                                                                                                        
DSE      00008770Aracaju                                                                      0005655217 de Março                                                                  00000000                                                                        Rua                                                                                                        00839313José Sebrão de Carvalho                                                 R José S de Carvalho                                                    49003310NS                                                                                                        
DSE      00008770Aracaju                                                                      00014229Treze de Julho                                                               00000000                                                                        Rua                          Desembargador                                                                 00355231José Sotero                                                             R Des José Sotero                                                       49020110NS                                                                                                        
DSE      00008770Aracaju                                                                      00014210Lamarão                                                                      00000000                                                                        Rua                          Sindicalista                                                                  00892568José Souza de Jesus                                                     R Sind José S de Jesus                                                  49088482NS                                                                                                        
DSE      00008770Aracaju                                                                      00014193Atalaia                                                                      00000000                                                                        Rua                                                                                                        00355930José Steremberg                                                         R José Steremberg                                                       49035470NS                                                                                                        
DSE      00008770Aracaju                                                                      00014191Aeroporto                                                                    00000000                                                                        Rua                                                                                                        00355931José Teles Prudente                                                     R José T Prudente                                                       49037400NS                                                                                                        
DSE      00008770Aracaju                                                                      00014200Dezoito do Forte                                                             00000000                                                                        Rua                                                                                                        00827229José Teles Santos                                                       R José T Santos                                                         49072296NS                                                                                                        
DSE      00008770Aracaju                                                                      00014215Palestina                                                                    00000000                                                                        Rua                                                                                                        00932786José Teles Santos                                                       R José Teles Santos                                                     49060770NS                                                                                                        
DSE      00008770Aracaju                                                                      00014213Novo Paraíso                                                                 00000000                                                                        Rua                          Sargento                                                                      00356697José Teodoro                                                            R Srg José Teodoro                                                      49082480NS                                                                                                        
DSE      00008770Aracaju                                                                      00014201Farolândia                                                                   00000000                                                                        Avenida                      Doutor                                                                        00355316José Thomas D'Ávila Nabuco                                              Av Dr José T D Nabuco                                                   49030270NS                                                                                                        
DSE      00008770Aracaju                                                                      00014225Siqueira Campos                                                              00000000                                                                        Praça                        Dom                                                                           00355264José Thomaz                                                             Pç D José Thomaz                                                        49075200NS                                                                                                        
DSE      00008770Aracaju                                                                      00014224São José                                                                     00000000                                                                        Rua                          Dom                                                                           00355265José Thomaz                                                             R D José Thomaz                                                         49015090NS                                                                                                        
DSE      00008770Aracaju                                                                      00030721Zona de Expansão (Aruana)                                                    00000000                                                                        Rua                                                                                                        00724933José Valdir Ferreira Lira                                               R José V F Lira                     (Cj Brisa Mar)                      49000501NS                                                                                                        
DSE      00008770Aracaju                                                                      00030721Zona de Expansão (Aruana)                                                    00000000                                                                        Rua                          Sargento                                                                      00356698José Valença Santos Leite                                               R Srg José V S Leite                                                    49000194NS                                                                                                        
DSE      00008770Aracaju                                                                      00014192América                                                                      00000000                                                                        Travessa                                                                                                   00355933José Vasconcelos                                                        Tv José Vasconcelos                                                     49080340NS                                                                                                        
DSE      00008770Aracaju                                                                      00014216Pereira Lobo                                                                 00000000                                                                        Rua                                                                                                        00355934José Vernior                                                            R José Vernior                                                          49050470NS                                                                                                        
DSE      00008770Aracaju                                                                      00030721Zona de Expansão (Aruana)                                                    00000000                                                                        Avenida                                                                                                    00725160José Vicente de Almeida                                                 Av José V de Almeida                                                    49000560NS                                                                                                        
DSE      00008770Aracaju                                                                      00014217Ponto Novo                                                                   00000000                                                                        Rua                                                                                                        00722574José Vicente dos Santos Filho                                           R José V dos S Filho                                                    49047003NS                                                                                                        
DSE      00008770Aracaju                                                                      00014209José Conrado de Araújo                                                       00000000                                                                        Travessa                                                                                                   00726224José Vieira                                                             Tv José Vieira                                                          49085263NS                                                                                                        
DSE      00008770Aracaju                                                                      00014223São Conrado                                                                  00000000                                                                        Rua                                                                                                        00355935José Vieira Dantas                                                      R José V Dantas                                                         49042270NS                                                                                                        
DSE      00008770Aracaju                                                                      00014212Zona de Expansão (Mosqueiro)                                                 00000000                                                                        Rua                                                                                                        00727259José Vieira de Andrade                                                  R José V de Andrade                                                     49009031NS                                                                                                        
DSE      00008770Aracaju                                                                      00014209José Conrado de Araújo                                                       00000000                                                                        Rua                                                                                                        00355936José Vieira de Andrade                                                  R José V de Andrade                                                     49085180NS                                                                                                        
DSE      00008770Aracaju                                                                      00014227Suíssa                                                                       00000000                                                                        Travessa                                                                                                   00355937José Vieira de Andrade                                                  Tv José V de Andrade                                                    49052400NS                                                                                                        
DSE      00008770Aracaju                                                                      00014201Farolândia                                                                   00000000                                                                        Rua                                                                                                        00355938José Vieira de Jesus                                                    R José V de Jesus                                                       49031240NS                                                                                                        
DSE      00008770Aracaju                                                                      00014200Dezoito do Forte                                                             00000000                                                                        Rua                                                                                                        00726151José Vieira de Matos                                                    R José V de Matos                                                       49072213NS                                                                                                        
DSE      00008770Aracaju                                                                      00014218Porto D'Antas                                                                00000000                                                                        Rua                                                                                                        00355939José Vieira Neto                                                        R José V Neto                                                           49067150NS                                                                                                        
DSE      00008770Aracaju                                                                      00014222Santos Dumont                                                                00000000                                                                        Rua                                                                                                        00726463José Vieira Santos                                                      R José V Santos                                                         49087603NS                                                                                                        
DSE      00008770Aracaju                                                                      00014192América                                                                      00000000                                                                        Rua                                                                                                        00355941José Zuckman                                                            R José Zuckman                                                          49080350NS                                                                                                        
DSE      00008770Aracaju                                                                      00014192América                                                                      00000000                                                                        Travessa                                                                                                   00722280José Zuckman                                                            Tv José Zuckman                                                         49080356NS                                                                                                        
DSE      00008770Aracaju                                                                      00014201Farolândia                                                                   00000000                                                                        Rua                                                                                                        00355942Josefa Marinez Leite de Oliveira                                        R Josefa M L de Oliveira                                                49031350NS                                                                                                        
DSE      00008770Aracaju                                                                      00014214Olaria                                                                       00000000                                                                        Praça                                                                                                      00556884Josefa Nunes                                                            Pç Josefa Nunes                                                         49092560NS                                                                                                        
DSE      00008770Aracaju                                                                      00014205Industrial                                                                   00000000                                                                        Rua                                                                                                        00354802Josefina da Conceição Cruz                                              R Josefina da C Cruz                                                    49065060NS                                                                                                        
DSE      00008770Aracaju                                                                      00014215Palestina                                                                    00000000                                                                        Rua                                                                                                        00853484Josefina Fagundes Pereira                                               R Josefina F Pereira                                                    49060706NS                                                                                                        
DSE      00008770Aracaju                                                                      00030722Zona de Expansão (Areia Branca)                                              00000000                                                                        Rua                                                                                                        00915927Josefina Leite                                                          R Josefina Leite                                                        49007268NS                                                                                                        
DSE      00008770Aracaju                                                                      00014206Jabotiana                                                                    00000000                                                                        Rua                                                                                                        00773418Josefina Ribeiro de Carvalho                                            R Josefina R de Carvalho                                                49095786NS                                                                                                        
DSE      00008770Aracaju                                                                      00030722Zona de Expansão (Areia Branca)                                              00000000                                                                        Rua                                                                                                        00727096Joseph Delano                                                           R Joseph Delano                                                         49007110NS                                                                                                        
DSE      00008770Aracaju                                                                      00014226Soledade                                                                     00000000                                                                        Rua                                                                                                        00726532Josepha Santos                                                          R Josepha Santos                                                        49089043NS                                                                                                        
DSE      00008770Aracaju                                                                      00014199Coroa do Meio                                                                00000000                                                                        Rua                                                                                                        00355943Josias Vieira Dantas                                                    R Josias V Dantas                                                       49035480NS                                                                                                        
DSE      00008770Aracaju                                                                      00014201Farolândia                                                                   00000000                                                                        Avenida                                                                                                    00355944Josino José de Almeida                                                  Av Josino J de Almeida                                                  49030000NS                                                                                                        
DSE      00008770Aracaju                                                                      00014217Ponto Novo                                                                   00000000                                                                        Rua                                                                                                        00355946Josino Menezes                                                          R Josino Menezes                                                        49047210NS                                                                                                        
DSE      00008770Aracaju                                                                      00014223São Conrado                                                                  00000000                                                                        Rua                                                                                                        00722548Josué de Carvalho Cunha                                                 R Josué de C Cunha                                                      49042455NS                                                                                                        
DSE      00008770Aracaju                                                                      00014199Coroa do Meio                                                                00000000                                                                        Rua                                                                                                        00355947Josué de Carvalho Cunha                                                 R Josué de C Cunha                                                      49035490NS                                                                                                        
SSE      00008770Aracaju                                                                      00014220Salgado Filho                                                                00000000                                                                        Rua                                                                                                        00355948Joventina Alves                                                         R Joventina Alves                                                       49020330N1          700        A00020588S                                                                         
SSE      00008770Aracaju                                                                      00014203Grageru                                                                      00000000                                                                        Rua                                                                                                        00355948Joventina Alves                                                         R Joventina Alves                                                       49025360N701        99999      A00020589S                                                                         
DSE      00008770Aracaju                                                                      00014206Jabotiana                                                                    00000000                                                                        Rua                                                                                                        00355949Jovina Santana                                                          R Jovina Santana                                                        49096040NS                                                                                                        
DSE      00008770Aracaju                                                                      00014211Luzia                                                                        00000000                                                                        Rua                                                                                                        00355950Jovino Silva                                                            R Jovino Silva                                                          49045410NS                                                                                                        
DSE      00008770Aracaju                                                                      00014223São Conrado                                                                  00000000                                                                        Rua                                                                                                        00722600JR                                                                      R JR                                                                    49043233NS                                                                                                        
DSE      00008770Aracaju                                                                      00014208Jardins                                                                      00000000                                                                        Rua                                                                                                        00355951Juarez Carvalho                                                         R Juarez Carvalho                                                       49025370NS                                                                                                        
DSE      00008770Aracaju                                                                      00014228Santa Maria                                                                  00000000                                                                        Avenida                      Jornalista                                                                    00722773Juarez Conrado Dantas                                                   Av Jorn Juarez C Dantas                                                 49043466NS                                                                                                        
DSE      00008770Aracaju                                                                      00014201Farolândia                                                                   00000000                                                                        Rua                                                                                                        00355952Juarez de Oliveira Ribeiro                                              R Juarez de O Ribeiro                                                   49031220NS                                                                                                        
DSE      00008770Aracaju                                                                      00014211Luzia                                                                        00000000                                                                        Rua                                                                                                        00355953Juarez Gomes da Rocha                                                   R Juarez G da Rocha                                                     49046070NS                                                                                                        
DSE      00008770Aracaju                                                                      00014223São Conrado                                                                  00000000                                                                        Rua                                                                                                        00355955Juarez Oliveira Leal                                                    R Juarez O Leal                                                         49042280NS                                                                                                        
DSE      00008770Aracaju                                                                      00014224São José                                                                     00000000                                                                        Travessa                                                                                                   00355956Juca Barreto                                                            Tv Juca Barreto                                                         49015200NS                                                                                                        
DSE      00008770Aracaju                                                                      00014217Ponto Novo                                                                   00000000                                                                        Rua                                                                                                        00355957Juca Prado                                                              R Juca Prado                                                            49097360NS                                                                                                        
DSE      00008770Aracaju                                                                      00014206Jabotiana                                                                    00000000                                                                        Praça                        Doutora                                                                       00355968Juciara Menezes Campos                                                  Pç Dra Juciara Menezes Campos                                           49095200NS                                                                                                        
DSE      00008770Aracaju                                                                      00014216Pereira Lobo                                                                 00000000                                                                        Rua                          São                                                                           00356672Judas Tadeu                                                             R S Judas Tadeu                                                         49050710NS                                                                                                        
DSE      00008770Aracaju                                                                      0005655217 de Março                                                                  00000000                                                                        Rua                          Procurador                                                                    00851117Jugurta Barreto Lima                                                    R Proc Jugurta B Lima                                                   49003205NS                                                                                                        
DSE      00008770Aracaju                                                                      00014199Coroa do Meio                                                                00000000                                                                        Rua                          Professor                                                                     00356481Jugurta Feitosa Franco                                                  R Prf Jugurta F Franco                                                  49035690NS                                                                                                        
DSE      00008770Aracaju                                                                      00014191Aeroporto                                                                    00000000                                                                        Rua                                                                                                        00724400Jules Norman de Souza                                                   R Jules N de Souza                                                      49037023NS                                                                                                        
DSE      00008770Aracaju                                                                      00014191Aeroporto                                                                    00000000                                                                        Rua                                                                                                        00724448Júlia Maria dos Santos                                                  R Júlia M dos Santos                                                    49037359NS                                                                                                        
